date,hospital_branch,weekday,total_beds,icu_beds,occupied_beds,occupied_icu_beds,available_beds,admissions,discharges,emergency_cases,staff_available
4/6/2018,Metro Hospital,Sunday,175,31,175,20,0,38,16,23,103
4/7/2018,Metro Hospital,Monday,175,31,175,21,0,27,19,22,50
4/8/2018,Metro Hospital,Tuesday,175,31,175,24,0,41,37,19,103
4/9/2018,Metro Hospital,Wednesday,175,31,175,28,0,30,23,21,89
4/10/2018,Metro Hospital,Thursday,175,31,171,24,4,27,31,16,57
4/11/2018,Metro Hospital,Friday,175,31,175,25,0,59,19,12,79
4/12/2018,Metro Hospital,Saturday,175,31,175,26,0,44,15,31,54
4/13/2018,Metro Hospital,Sunday,175,31,175,25,0,47,25,10,75
4/14/2018,Metro Hospital,Monday,175,31,163,28,12,20,32,20,89
4/15/2018,Metro Hospital,Tuesday,175,31,151,31,24,22,34,32,102
4/16/2018,Metro Hospital,Wednesday,175,31,135,31,40,27,43,15,100
4/17/2018,Metro Hospital,Thursday,175,31,147,30,28,52,40,19,108
4/18/2018,Metro Hospital,Friday,175,31,172,31,3,55,30,18,54
4/19/2018,Metro Hospital,Saturday,175,31,175,31,0,40,17,24,58
4/20/2018,Metro Hospital,Sunday,175,31,170,31,5,20,25,19,83
4/21/2018,Metro Hospital,Monday,175,31,155,31,20,29,44,24,116
4/22/2018,Metro Hospital,Tuesday,175,31,127,31,48,21,49,27,55
4/23/2018,Metro Hospital,Wednesday,175,31,129,27,46,34,32,32,66
4/24/2018,Metro Hospital,Thursday,175,31,153,27,22,59,35,12,72
4/25/2018,Metro Hospital,Friday,175,31,152,29,23,53,54,29,99
4/26/2018,Metro Hospital,Saturday,175,31,141,28,34,36,47,33,93
4/27/2018,Metro Hospital,Sunday,175,31,164,29,11,38,15,22,95
4/28/2018,Metro Hospital,Monday,175,31,175,30,0,47,33,25,69
4/29/2018,Metro Hospital,Tuesday,175,31,175,31,0,45,15,34,82
4/30/2018,Metro Hospital,Wednesday,175,31,157,30,18,34,52,17,64
5/1/2018,Metro Hospital,Thursday,175,31,147,28,28,22,32,34,51
5/2/2018,Metro Hospital,Friday,175,31,173,28,2,50,24,33,118
5/3/2018,Metro Hospital,Saturday,175,31,144,24,31,25,54,23,115
5/4/2018,Metro Hospital,Sunday,175,31,151,21,24,33,26,17,61
5/5/2018,Metro Hospital,Monday,175,31,154,23,21,44,41,30,82
5/6/2018,Metro Hospital,Tuesday,175,31,169,19,6,48,33,26,51
5/7/2018,Metro Hospital,Wednesday,175,31,145,16,30,22,46,17,81
5/8/2018,Metro Hospital,Thursday,175,31,136,13,39,26,35,32,58
5/9/2018,Metro Hospital,Friday,175,31,123,17,52,29,42,15,81
5/10/2018,Metro Hospital,Saturday,175,31,97,13,78,20,46,33,57
5/11/2018,Metro Hospital,Sunday,175,31,122,15,53,40,15,18,52
5/12/2018,Metro Hospital,Monday,175,31,112,15,63,33,43,14,112
5/13/2018,Metro Hospital,Tuesday,175,31,134,11,41,59,37,28,64
5/14/2018,Metro Hospital,Wednesday,175,31,139,7,36,27,22,28,85
5/15/2018,Metro Hospital,Thursday,175,31,136,11,39,41,44,19,107
5/16/2018,Metro Hospital,Friday,175,31,149,16,26,29,16,30,66
5/17/2018,Metro Hospital,Saturday,175,31,137,12,38,22,34,15,116
5/18/2018,Metro Hospital,Sunday,175,31,149,8,26,58,46,21,113
5/19/2018,Metro Hospital,Monday,175,31,141,7,34,21,29,28,105
5/20/2018,Metro Hospital,Tuesday,175,31,174,12,1,54,21,20,96
5/21/2018,Metro Hospital,Wednesday,175,31,175,16,0,34,22,20,95
5/22/2018,Metro Hospital,Thursday,175,31,163,15,12,28,40,19,107
5/23/2018,Metro Hospital,Friday,175,31,145,12,30,30,48,20,98
5/24/2018,Metro Hospital,Saturday,175,31,135,8,40,28,38,14,102
5/25/2018,Metro Hospital,Sunday,175,31,159,10,16,51,27,22,117
5/26/2018,Metro Hospital,Monday,175,31,142,6,33,32,49,26,119
5/27/2018,Metro Hospital,Tuesday,175,31,125,5,50,24,41,23,67
5/28/2018,Metro Hospital,Wednesday,175,31,147,4,28,41,19,28,53
5/29/2018,Metro Hospital,Thursday,175,31,136,5,39,26,37,33,115
5/30/2018,Metro Hospital,Friday,175,31,175,4,0,58,19,26,86
5/31/2018,Metro Hospital,Saturday,175,31,175,3,0,54,30,18,76
6/1/2018,Metro Hospital,Sunday,175,31,175,3,0,53,45,32,75
6/2/2018,Metro Hospital,Monday,175,31,175,8,0,42,22,34,111
6/3/2018,Metro Hospital,Tuesday,175,31,175,11,0,56,37,14,119
6/4/2018,Metro Hospital,Wednesday,175,31,175,9,0,35,31,23,71
6/5/2018,Metro Hospital,Thursday,175,31,175,6,0,49,19,24,71
6/6/2018,Metro Hospital,Friday,175,31,175,10,0,40,35,30,116
6/7/2018,Metro Hospital,Saturday,175,31,164,14,11,42,53,23,63
6/8/2018,Metro Hospital,Sunday,175,31,175,18,0,36,21,28,88
6/9/2018,Metro Hospital,Monday,175,31,175,14,0,59,18,29,86
6/10/2018,Metro Hospital,Tuesday,175,31,175,12,0,30,23,23,90
6/11/2018,Metro Hospital,Wednesday,175,31,175,11,0,51,20,16,89
6/12/2018,Metro Hospital,Thursday,175,31,167,13,8,44,52,31,98
6/13/2018,Metro Hospital,Friday,175,31,175,17,0,53,44,20,112
6/14/2018,Metro Hospital,Saturday,175,31,175,16,0,45,36,30,73
6/15/2018,Metro Hospital,Sunday,175,31,164,19,11,42,53,31,116
6/16/2018,Metro Hospital,Monday,175,31,145,15,30,31,50,24,68
6/17/2018,Metro Hospital,Tuesday,175,31,156,20,19,56,45,25,65
6/18/2018,Metro Hospital,Wednesday,175,31,145,19,30,36,47,22,61
6/19/2018,Metro Hospital,Thursday,175,31,145,19,30,36,36,34,84
6/20/2018,Metro Hospital,Friday,175,31,160,21,15,47,32,17,72
6/21/2018,Metro Hospital,Saturday,175,31,175,26,0,47,18,23,64
6/22/2018,Metro Hospital,Sunday,175,31,175,30,0,58,35,17,70
6/23/2018,Metro Hospital,Monday,175,31,175,31,0,52,40,13,55
6/24/2018,Metro Hospital,Tuesday,175,31,159,31,16,28,44,23,98
6/25/2018,Metro Hospital,Wednesday,175,31,173,31,2,58,44,11,62
6/26/2018,Metro Hospital,Thursday,175,31,175,28,0,31,16,31,91
6/27/2018,Metro Hospital,Friday,175,31,167,27,8,32,40,16,97
6/28/2018,Metro Hospital,Saturday,175,31,175,29,0,45,34,32,98
6/29/2018,Metro Hospital,Sunday,175,31,175,26,0,49,47,16,106
6/30/2018,Metro Hospital,Monday,175,31,175,25,0,54,48,29,114
7/1/2018,Metro Hospital,Tuesday,175,31,175,22,0,48,20,30,90
7/2/2018,Metro Hospital,Wednesday,175,31,175,27,0,35,30,31,59
7/3/2018,Metro Hospital,Thursday,175,31,144,31,31,22,53,10,114
7/4/2018,Metro Hospital,Friday,175,31,149,31,26,48,43,10,57
7/5/2018,Metro Hospital,Saturday,175,31,161,31,14,57,45,27,55
7/6/2018,Metro Hospital,Sunday,175,31,175,31,0,59,31,26,106
7/7/2018,Metro Hospital,Monday,175,31,175,31,0,40,19,16,87
7/8/2018,Metro Hospital,Tuesday,175,31,175,28,0,27,21,25,102
7/9/2018,Metro Hospital,Wednesday,175,31,167,29,8,31,39,26,108
7/10/2018,Metro Hospital,Thursday,175,31,146,29,29,27,48,25,96
7/11/2018,Metro Hospital,Friday,175,31,127,31,48,23,42,26,109
7/12/2018,Metro Hospital,Saturday,175,31,141,31,34,36,22,26,68
7/13/2018,Metro Hospital,Sunday,175,31,153,29,22,29,17,11,118
7/14/2018,Metro Hospital,Monday,175,31,161,31,14,25,17,27,116
7/15/2018,Metro Hospital,Tuesday,175,31,175,30,0,58,25,17,73
7/16/2018,Metro Hospital,Wednesday,175,31,152,31,23,29,52,21,103
7/17/2018,Metro Hospital,Thursday,175,31,154,31,21,41,39,13,104
7/18/2018,Metro Hospital,Friday,175,31,169,31,6,55,40,18,72
7/19/2018,Metro Hospital,Saturday,175,31,156,31,19,25,38,10,93
7/20/2018,Metro Hospital,Wednesday,280,62,174,38,106,52,35,30,98
7/21/2018,Metro Hospital,Thursday,280,62,175,38,105,40,39,15,82
7/22/2018,Metro Hospital,Friday,280,62,189,36,91,61,47,20,99
7/23/2018,Metro Hospital,Saturday,280,62,207,40,73,56,38,20,88
7/24/2018,Metro Hospital,Sunday,280,62,189,42,91,27,45,33,116
7/25/2018,Metro Hospital,Monday,280,62,204,45,76,68,53,14,83
7/26/2018,Metro Hospital,Tuesday,280,62,233,47,47,46,17,15,104
7/27/2018,Metro Hospital,Wednesday,280,62,263,49,17,48,18,34,118
7/28/2018,Metro Hospital,Thursday,280,62,261,51,19,42,44,14,57
7/29/2018,Metro Hospital,Friday,280,62,266,50,14,31,26,15,79
7/30/2018,Metro Hospital,Saturday,280,62,280,46,0,67,40,34,72
7/31/2018,Metro Hospital,Sunday,280,62,280,44,0,64,31,22,117
8/1/2018,Metro Hospital,Monday,280,62,280,41,0,68,40,13,58
8/2/2018,Metro Hospital,Tuesday,280,62,280,37,0,60,43,14,106
8/3/2018,Metro Hospital,Wednesday,280,62,280,35,0,70,41,19,76
8/4/2018,Metro Hospital,Thursday,280,62,280,39,0,46,19,15,91
8/5/2018,Metro Hospital,Friday,280,62,279,35,1,46,47,27,117
8/6/2018,Metro Hospital,Saturday,280,62,280,33,0,66,15,34,74
8/7/2018,Metro Hospital,Sunday,280,62,280,33,0,51,49,30,105
8/8/2018,Metro Hospital,Monday,280,62,278,30,2,39,41,10,65
8/9/2018,Metro Hospital,Tuesday,280,62,266,34,14,25,37,11,64
8/10/2018,Metro Hospital,Wednesday,280,62,269,31,11,27,24,33,73
8/11/2018,Metro Hospital,Thursday,280,62,278,29,2,51,42,24,109
8/12/2018,Metro Hospital,Friday,280,62,280,33,0,61,35,13,102
8/13/2018,Metro Hospital,Saturday,280,62,280,37,0,55,47,31,57
8/14/2018,Metro Hospital,Sunday,280,62,280,39,0,44,44,31,105
8/15/2018,Metro Hospital,Monday,280,62,280,36,0,34,25,23,104
8/16/2018,Metro Hospital,Tuesday,280,62,280,34,0,30,19,21,112
8/17/2018,Metro Hospital,Wednesday,280,62,280,30,0,45,24,14,77
8/18/2018,Metro Hospital,Thursday,280,62,280,28,0,70,31,11,94
8/19/2018,Metro Hospital,Friday,280,62,280,27,0,60,20,24,88
8/20/2018,Metro Hospital,Saturday,280,62,280,29,0,52,29,30,99
8/21/2018,Metro Hospital,Sunday,280,62,280,25,0,62,16,14,113
8/22/2018,Metro Hospital,Monday,280,62,280,26,0,54,35,30,71
8/23/2018,Metro Hospital,Tuesday,280,62,279,22,1,40,41,23,103
8/24/2018,Metro Hospital,Wednesday,280,62,252,20,28,25,52,18,91
8/25/2018,Metro Hospital,Thursday,280,62,280,20,0,54,25,34,119
8/26/2018,Metro Hospital,Friday,280,62,280,16,0,45,39,29,50
8/27/2018,Metro Hospital,Saturday,280,62,280,18,0,68,41,22,113
8/28/2018,Metro Hospital,Sunday,280,62,280,14,0,64,24,29,87
8/29/2018,Metro Hospital,Monday,280,62,280,15,0,60,20,16,105
8/30/2018,Metro Hospital,Tuesday,280,62,273,17,7,27,34,22,59
8/31/2018,Metro Hospital,Wednesday,280,62,280,13,0,32,17,17,109
9/1/2018,Metro Hospital,Thursday,280,62,280,12,0,33,33,12,73
9/2/2018,Metro Hospital,Friday,280,62,280,9,0,49,43,28,67
9/3/2018,Metro Hospital,Saturday,280,62,276,12,4,30,34,10,84
9/4/2018,Metro Hospital,Sunday,280,62,280,12,0,66,43,24,60
9/5/2018,Metro Hospital,Monday,280,62,264,17,16,24,40,12,76
9/6/2018,Metro Hospital,Tuesday,280,62,280,19,0,70,17,21,50
9/7/2018,Metro Hospital,Wednesday,280,62,280,15,0,43,15,34,66
9/8/2018,Metro Hospital,Thursday,280,62,280,17,0,60,34,15,57
9/9/2018,Metro Hospital,Friday,280,62,280,22,0,57,42,25,88
9/10/2018,Metro Hospital,Saturday,280,62,280,24,0,50,32,13,75
9/11/2018,Metro Hospital,Sunday,280,62,280,23,0,31,27,26,104
9/12/2018,Metro Hospital,Monday,280,62,280,28,0,67,36,30,108
9/13/2018,Metro Hospital,Tuesday,280,62,280,25,0,34,31,25,83
9/14/2018,Metro Hospital,Wednesday,280,62,280,22,0,49,15,18,85
9/15/2018,Metro Hospital,Thursday,280,62,280,21,0,55,49,19,68
9/16/2018,Metro Hospital,Friday,280,62,280,22,0,67,39,33,114
9/17/2018,Metro Hospital,Saturday,280,62,280,26,0,58,49,15,90
9/18/2018,Metro Hospital,Sunday,280,62,280,25,0,49,25,14,80
9/19/2018,Metro Hospital,Monday,280,62,280,25,0,46,20,27,112
9/20/2018,Metro Hospital,Tuesday,280,62,269,22,11,42,53,27,116
9/21/2018,Metro Hospital,Wednesday,280,62,238,26,42,21,52,14,70
9/22/2018,Metro Hospital,Thursday,280,62,225,31,55,27,40,16,96
9/23/2018,Metro Hospital,Friday,280,62,234,27,46,24,15,28,68
9/24/2018,Metro Hospital,Saturday,280,62,220,26,60,40,54,25,52
9/25/2018,Metro Hospital,Sunday,280,62,214,28,66,28,34,11,118
9/26/2018,Metro Hospital,Monday,280,62,220,30,60,47,41,19,90
9/27/2018,Metro Hospital,Tuesday,280,62,251,35,29,56,25,29,71
9/28/2018,Metro Hospital,Wednesday,280,62,255,33,25,50,46,32,106
9/29/2018,Metro Hospital,Thursday,280,62,260,31,20,43,38,19,116
9/30/2018,Metro Hospital,Friday,280,62,263,35,17,26,23,26,76
10/1/2018,Metro Hospital,Saturday,280,62,279,37,1,32,16,18,58
10/2/2018,Metro Hospital,Sunday,280,62,257,33,23,25,47,34,71
10/3/2018,Metro Hospital,Monday,280,62,242,35,38,38,53,20,73
10/4/2018,Metro Hospital,Tuesday,280,62,242,33,38,28,28,30,57
10/5/2018,Metro Hospital,Wednesday,280,62,262,38,18,37,17,10,55
10/6/2018,Metro Hospital,Thursday,280,62,280,34,0,56,30,11,102
10/7/2018,Metro Hospital,Friday,280,62,280,37,0,35,33,10,103
10/8/2018,Metro Hospital,Saturday,280,62,280,40,0,35,17,19,51
10/9/2018,Metro Hospital,Sunday,280,62,280,39,0,40,29,16,81
10/10/2018,Metro Hospital,Monday,280,62,280,37,0,33,33,32,119
10/11/2018,Metro Hospital,Tuesday,280,62,280,36,0,59,18,23,64
10/12/2018,Metro Hospital,Wednesday,280,62,280,34,0,58,44,26,57
10/13/2018,Metro Hospital,Thursday,280,62,268,37,12,35,47,26,107
10/14/2018,Metro Hospital,Friday,280,62,271,38,9,52,49,27,118
10/15/2018,Metro Hospital,Saturday,280,62,278,34,2,34,27,10,108
10/16/2018,Metro Hospital,Sunday,280,62,255,31,25,30,53,15,60
10/17/2018,Metro Hospital,Monday,280,62,232,30,48,29,52,33,110
10/18/2018,Metro Hospital,Tuesday,280,62,241,33,39,50,41,34,93
10/19/2018,Metro Hospital,Wednesday,280,62,236,35,44,25,30,10,70
10/20/2018,Metro Hospital,Thursday,280,62,232,36,48,21,25,23,106
10/21/2018,Metro Hospital,Friday,280,62,226,34,54,21,27,20,60
10/22/2018,Metro Hospital,Saturday,280,62,202,39,78,30,54,19,117
10/23/2018,Metro Hospital,Sunday,280,62,194,38,86,44,52,24,84
10/24/2018,Metro Hospital,Monday,280,62,217,34,63,54,31,17,105
10/25/2018,Metro Hospital,Tuesday,280,62,226,31,54,42,33,28,78
10/26/2018,Metro Hospital,Wednesday,280,62,227,36,53,51,50,29,67
10/27/2018,Metro Hospital,Thursday,280,62,239,38,41,29,17,27,78
10/28/2018,Metro Hospital,Friday,280,62,277,40,3,54,16,26,83
10/29/2018,Metro Hospital,Saturday,280,62,254,42,26,21,44,20,107
10/30/2018,Metro Hospital,Sunday,280,62,255,47,25,54,53,33,97
10/31/2018,Metro Hospital,Monday,280,62,258,51,22,57,54,12,58
11/1/2018,Metro Hospital,Tuesday,280,62,280,56,0,55,26,30,107
11/2/2018,Metro Hospital,Wednesday,280,62,274,60,6,30,36,18,105
11/3/2018,Metro Hospital,Thursday,280,62,256,62,24,29,47,21,108
11/4/2018,Metro Hospital,Friday,280,62,240,62,40,30,46,19,54
11/5/2018,Metro Hospital,Saturday,280,62,238,59,42,37,39,29,79
11/6/2018,Metro Hospital,Sunday,280,62,232,62,48,32,38,22,84
11/7/2018,Metro Hospital,Monday,280,62,253,60,27,42,21,31,52
11/8/2018,Metro Hospital,Tuesday,280,62,273,61,7,43,23,23,79
11/9/2018,Metro Hospital,Wednesday,280,62,280,59,0,47,33,29,95
11/10/2018,Metro Hospital,Thursday,280,62,269,59,11,23,34,25,104
11/11/2018,Metro Hospital,Friday,280,62,243,62,37,20,46,17,96
11/12/2018,Metro Hospital,Saturday,280,62,251,60,29,58,50,18,69
11/13/2018,Metro Hospital,Sunday,280,62,252,62,28,38,37,30,94
11/14/2018,Metro Hospital,Monday,280,62,258,62,22,52,46,14,73
11/15/2018,Metro Hospital,Tuesday,280,62,272,58,8,32,18,17,93
11/16/2018,Metro Hospital,Wednesday,280,62,280,57,0,51,31,16,54
11/17/2018,Metro Hospital,Thursday,280,62,280,54,0,39,39,13,100
11/18/2018,Metro Hospital,Friday,280,62,267,52,13,29,42,23,88
11/19/2018,Metro Hospital,Saturday,280,62,246,56,34,24,45,27,55
11/20/2018,Metro Hospital,Sunday,280,62,263,56,17,41,24,28,53
11/21/2018,Metro Hospital,Monday,280,62,250,56,30,40,53,15,81
11/22/2018,Metro Hospital,Tuesday,280,62,271,60,9,40,19,29,61
11/23/2018,Metro Hospital,Wednesday,280,62,268,57,12,50,53,17,105
11/24/2018,Metro Hospital,Thursday,280,62,280,54,0,38,24,28,50
11/25/2018,Metro Hospital,Friday,280,62,280,50,0,34,20,22,113
11/26/2018,Metro Hospital,Saturday,280,62,280,49,0,56,43,11,68
11/27/2018,Metro Hospital,Sunday,280,62,280,53,0,36,36,19,117
11/28/2018,Metro Hospital,Monday,280,62,272,49,8,26,34,12,50
11/29/2018,Metro Hospital,Tuesday,280,62,280,46,0,56,32,29,56
11/30/2018,Metro Hospital,Wednesday,280,62,280,43,0,51,16,21,69
12/1/2018,Metro Hospital,Thursday,280,62,273,42,7,43,50,25,79
12/2/2018,Metro Hospital,Friday,280,62,280,46,0,49,39,19,91
12/3/2018,Metro Hospital,Saturday,280,62,280,43,0,58,25,32,99
12/4/2018,Metro Hospital,Sunday,280,62,276,43,4,24,28,31,96
12/5/2018,Metro Hospital,Monday,280,62,280,40,0,44,40,16,109
12/6/2018,Metro Hospital,Tuesday,280,62,280,42,0,49,32,18,51
12/7/2018,Metro Hospital,Wednesday,280,62,280,40,0,38,31,20,115
12/8/2018,Metro Hospital,Thursday,280,62,253,36,27,23,50,33,91
12/9/2018,Metro Hospital,Friday,280,62,278,35,2,44,19,11,57
12/10/2018,Metro Hospital,Saturday,280,62,265,31,15,29,42,29,58
12/11/2018,Metro Hospital,Sunday,280,62,275,29,5,34,24,24,105
12/12/2018,Metro Hospital,Monday,280,62,280,27,0,57,38,32,82
12/13/2018,Metro Hospital,Tuesday,280,62,263,31,17,27,44,25,74
12/14/2018,Metro Hospital,Wednesday,280,62,280,32,0,59,34,21,114
12/15/2018,Metro Hospital,Thursday,280,62,280,34,0,50,40,10,102
12/16/2018,Metro Hospital,Friday,280,62,280,35,0,46,45,10,60
12/17/2018,Metro Hospital,Saturday,280,62,276,39,4,21,25,28,101
12/18/2018,Metro Hospital,Sunday,280,62,280,36,0,43,35,10,96
12/19/2018,Metro Hospital,Monday,280,62,280,37,0,26,15,28,60
12/20/2018,Metro Hospital,Tuesday,280,62,261,34,19,32,51,17,54
12/21/2018,Metro Hospital,Wednesday,280,62,261,36,19,27,27,18,62
12/22/2018,Metro Hospital,Thursday,280,62,231,41,49,23,53,10,114
12/23/2018,Metro Hospital,Friday,280,62,215,38,65,30,46,19,60
12/24/2018,Metro Hospital,Saturday,280,62,220,43,60,33,28,27,54
12/25/2018,Metro Hospital,Sunday,280,62,249,44,31,57,28,10,74
12/26/2018,Metro Hospital,Monday,280,62,240,46,40,23,32,20,81
12/27/2018,Metro Hospital,Tuesday,280,62,231,43,49,45,54,17,67
12/28/2018,Metro Hospital,Wednesday,280,62,215,46,65,32,48,23,72
12/29/2018,Metro Hospital,Thursday,280,62,241,42,39,42,16,22,51
12/30/2018,Metro Hospital,Friday,280,62,274,45,6,51,18,30,62
